line	label	status	tags	source
1	inv_01	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
2	inv_02	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
3	inv_03	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
4	inv_04	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
5	inv_05	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
6	inv_06	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
7	inv_07	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
8	inv_08	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
9	inv_09	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
10	inv_10	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
11	inv_11	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
12	inv_12	COUNTERSAT	INVALID,INVALID_OPEN	hand-crafted
